1,senator carl krueger thinks ipods can kill you,0.08299,0.0664,0.1983,0.07472,0.2966,0.2809
2,who is prince frederic von anhalt,0.09871,0.1736,0.05472,0.188,0.2607,0.2242
3,prestige has magic touch,0,0,0.03784,0.3639,0.2568,0.3415
4,study female seals picky about mates,0.09145,0.1247,0.06831,0.3657,0.06828,0.2816
5,no e book for harry potter vii,0.08554,0.0821,0,0.4635,0.09429,0.2746
6,blair apologises over friendly fire inquest,0.07278,0.06903,0.2561,0.02784,0.3811,0.1932
7,vegetables may boost brain power in older adults,0.009018,0.003505,0.1337,0.4001,0.07104,0.3826
8,afghan forces retake town that was overrun by taliban,0.09054,0.01642,0.3527,0.03693,0.3705,0.1329
9,skip the showers male sweat turns women on study says,0.04084,0.1724,0.01051,0.1177,0.02102,0.6376
10,made in china irks some burberry shoppers,0.06071,0.05046,0.1617,0.3564,0.07009,0.3006
11,britain to restrict immigrants from new eu members,0.08088,0.01538,0.2119,0.2995,0.2666,0.1257
12,canadian breakthrough offers hope on autism,0.1251,0.03139,0.1737,0.3357,0.1006,0.2336
13,russia to strengthen its military muscle,0.1069,0.08418,0.2364,0.2818,0.1367,0.1541
14,alzheimer s drugs offer no help study finds,0.1128,0.1368,0.1445,0.2595,0.1563,0.1901
15,uk police slammed over terror raid,0.1016,0.09408,0.4633,0.09553,0.1278,0.1176
16,no rejects police state claim,0.1811,0.1382,0.3688,0.0762,0.1296,0.1061
17,oprah announces new book club pick,0.06479,0.09327,0.1129,0.428,0.1315,0.1695
18,smith can t be buried until hearing,0.1052,0.03335,0.138,0.1299,0.3046,0.289
19,african nation hopes whoopi can help,0.02125,0.01783,0.09813,0.3986,0.14,0.3242
20,tourism lags in bush s hometown,0.0697,0.02964,0.1202,0.4458,0.1474,0.1873
21,air france klm profit rises,0.194,0.06802,0.2036,0.2467,0.1675,0.1201
22,au regrets sudan s expulsion of un envoy,0.07139,0.05554,0.1091,0.4076,0.2434,0.113
23,taiwan s mr clean indicted steps down,0.04503,0.02269,0.114,0.3759,0.2838,0.1586
24,martian life could have evaded detection by viking landers,0.1121,0.0292,0.09328,0.03011,0.1951,0.5401
25,turner pays for boston bombing,0.0811,0.05056,0.02751,0.515,0.107,0.2189
26,serena misses bangalore tournament,0.003671,0.03857,0.07042,0.01178,0.5195,0.3561
27,attorneys point fingers in fight between ryan o neal and son,0.05481,0.06944,0.1099,0.3505,0.1775,0.2379
28,pledge i was abused in frat hazing,0.04682,0.0402,0.2066,0.1781,0.1679,0.3604
29,whistle blowing web site exposed,0.1586,0.03873,0.2334,0.1364,0.2002,0.2326
30,growing unarmed battalion in qaeda army is using internet to get the message out,0.0789,0.07941,0.2013,0.3495,0.09311,0.1978
31,royal rescues presidential hopes with commanding performance,0.01115,0.03568,0.008946,0.5832,0.05196,0.3091
32,minister slams airlines on carbon,0.1082,0.08397,0.2425,0.1834,0.2509,0.131
33,audio slide show a love story lasting years,0.03332,0.0328,0.09006,0.2646,0.3496,0.2297
34,fully cooked chicken strips recalled,0.1222,0.0328,0.3268,0.231,0.1089,0.1785
35,madonna adoption bid approved,0.0002602,0.02967,0.001477,0.62,0.03547,0.3132
36,rowdy fans ejected from the open,0.09305,0.01768,0.07882,0.3896,0.2632,0.1577
